,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
101,-20,-20,-40,-40,-40,-20,20,0,20,-80,-80,-80,80,80,20,-12,15,-23,20,80,20,-13,22,24,20,80,20,74,-59,-59,20,80,20,8,-13,-53
102,-40,-40,20,-40,-40,-40,40,0,-80,-80,-80,-80,20,80,-31,-31,-28,-28,40,80,-65,-60,-65,-65,40,80,-47,-47,-47,-29,40,80,-32,-36,-40,-40
103,-40,-40,-40,-40,-40,-40,40,0,-80,-80,-80,-80,20,-20,-20,-20,-20,-20,40,80,-80,-80,-80,-80,40,80,-80,-80,-80,-80,40,80,-79,-80,10,-80
104,-20,-20,20,-40,-40,-69,20,0,-80,-80,-80,-80,40,80,-23,-23,-21,-21,40,80,-30,-30,-30,-30,8,68,-5,-5,-7,-7,25,68,-38,-16,-16,-16
105,-20,-20,20,-40,-40,-20,20,0,20,-80,-80,-80,40,80,20,80,77,77,-20,72,20,55,56,56,20,80,20,80,77,77,20,80,20,80,77,77
106,-20,-20,-40,-40,-40,-20,20,0,20,20,20,20,-20,80,20,20,20,20,20,80,20,20,20,20,20,80,20,20,20,20,20,80,20,20,20,20
107,-40,-40,-40,-20,-20,-20,40,9,-80,-80,-80,-80,80,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20
108,-20,-20,-20,-40,-40,20,20,0,20,-80,-80,-80,20,80,20,58,40,8,40,80,20,58,43,58,40,80,20,66,50,50,80,80,20,66,50,50
109,-40,-40,20,-40,-40,-20,40,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,20,80,-74,-12,-76,-76,20,80,-77,-4,-80,-80,20,80,-80,-80,-80,-80
110,20,-40,-20,-20,-20,-40,40,0,20,20,20,20,40,-20,-20,-20,-20,-20,40,-20,-20,-20,-20,-20,40,-20,-20,-20,-20,-20,80,-20,-20,-20,-20,-20
111,-40,-40,-40,-75,-40,-20,40,0,20,-80,-80,-80,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20
112,20,-40,-20,-20,-40,-74,40,41,20,-80,-80,-80,80,80,20,-58,-66,-59,-20,80,20,-12,-12,-12,-20,80,20,-19,13,-10,-20,80,20,-37,5,20
113,20,-40,-80,-40,-40,-40,40,0,20,-80,-80,-80,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,40,-20,-20,-20,-20,-20
114,-40,-40,-20,-20,-40,-40,40,0,20,20,20,20,40,80,20,20,20,20,80,80,20,20,20,20,80,80,20,20,20,20,80,80,20,20,20,20
115,20,-40,20,-40,-20,-40,40,0,-80,-32,-55,-55,40,80,65,78,69,75,20,80,72,72,67,69,20,80,69,72,-9,75,20,80,69,72,73,75
